岩瀬 佑美子：1990年6月12日／ふたご座／153cm／埼玉県／A型
深川 麻衣：1991年3月29日／おひつじ座／162cm／静岡県／O型
白石 麻衣：1992年8月20日／しし座／162cm／群馬県／A型
松村 沙友理：1992年8月27日／おとめ座／164cm／大阪府／B型
衛藤 美彩：1993年1月4日／やぎ座／163cm／大分県／AB型
橋本 奈々未：1993年2月20日／うお座／163cm／北海道／B型
安藤 美雲：1993年5月21日／ふたご座／156cm／神奈川県／O型
斉藤 優里：1993年7月20日／かに座／157cm／東京都／O型
秋元 真夏：1993年8月20日／しし座／154cm／埼玉県／B型
宮澤 成良：1993年10月29日／さそり座／166cm／千葉県／O型
高山 一実：1994年2月8日／みずがめ座／162cm／千葉県／A型
桜井 玲香：1994年5月16日／おうし座／155cm／神奈川県／A型
永島 聖羅：1994年5月19日／おうし座／158cm／愛知県／O型
西野 七瀬：1994年5月25日／ふたご座／159cm／大阪府／O型
若月 佑美：1994年6月27日／かに座／157cm／静岡県／O型
中田 花奈：1994年8月6日／しし座／158cm／埼玉県／A型
柏 幸奈：1994年8月12日／しし座／158cm／神奈川県／B型
能條 愛未：1994年10月18日／てんびん座／163cm／神奈川県／A型
井上 小百合：1994年12月14日／いて座／156cm／埼玉県／B型
大和 里菜：1994年12月14日／いて座／162cm／宮城県／O型
川村 真洋：1995年7月23日／しし座／156cm／大阪府／A型
畠中 清羅：1995年12月5日／いて座／150cm／大分県／B型
伊藤 寧々：1995年12月12日／いて座／148cm／岐阜県／B型
生駒 里奈：1995年12月29日／やぎ座／153cm／秋田県／AB型
市來 玲奈：1996年1月22日／みずがめ座／153cm／千葉県／A型
伊藤 万理華：1996年2月20日／うお座／156cm／神奈川県／O型
中元 日芽香：1996年4月13日／おひつじ座／161cm／広島県／O型
吉本 彩華：1996年8月18日／しし座／不明／熊本県／A型
生田 絵梨花：1997年1月22日／みずがめ座／160cm／東京都／A型
斎藤 ちはる：1997年2月17日／みずがめ座／166cm／埼玉県／A型
樋口 日奈：1998年1月31日／みずがめ座／161cm／東京都／A型
星野 みなみ：1998年2月6日／みずがめ座／155cm／千葉県／B型
川後 陽菜：1998年3月22日／おひつじ座／158cm／長崎県／O型
山本 穂乃香：1998年3月31日／おひつじ座／不明／愛知県／不明
和田 まあや：1998年4月23日／おうし座／161cm／広島県／O型
齋藤 飛鳥：1998年8月10日／しし座／158cm／東京都／O型
新内 眞衣：1992年1月22日／みずがめ座／165cm／埼玉県／B型
伊藤 かりん：1993年5月26日／ふたご座／153cm／神奈川県／O型
西川 七海：1993年7月3日／かに座／165cm／東京都／A型
矢田 里沙子：1995年3月8日／うお座／158cm／埼玉県／A型
北野 日奈子：1996年7月17日／かに座／158cm／北海道／O型
堀 未央奈：1996年10月15日／てんびん座／162cm／岐阜県／O型
山崎 怜奈：1997年5月21日／ふたご座／164cm／東京都／B型
相楽 伊織：1997年11月26日／いて座／164cm／埼玉県／O型
佐々木 琴子：1998年8月28日／おとめ座／163cm／埼玉県／A型
寺田 蘭世：1998年9月23日／てんびん座／155cm／東京都／不明
伊藤 純奈：1998年11月30日／いて座／166cm／神奈川県／A型
鈴木 絢音：1999年3月5日／うお座／161cm／秋田県／O型
米徳 京花：1999年4月14日／おひつじ座／163cm／神奈川県／AB型
渡辺 みり愛：1999年11月1日／さそり座／153cm／東京都／O型
吉田 綾乃クリスティー：1995年9月6日／おとめ座／161cm／大分県／A型
佐藤 楓：1998年3月23日／おひつじ座／161cm／愛知県／A型
梅澤 美波：1999年1月6日／やぎ座／170cm／神奈川県／A型
山下 美月：1999年7月26日／しし座／160cm／東京都／O型
向井 葉月：1999年8月23日／おとめ座／152cm／東京都／A型
大園 桃子：1999年9月13日／おとめ座／156cm／鹿児島県／O型
与田 祐希：2000年5月5日／おうし座／153cm／福岡県／O型
久保 史緒里：2001年7月14日／かに座／161cm／宮城県／O型
中村 麗乃：2001年9月27日／てんびん座／167cm／東京都／不明
阪口 珠美：2001年11月10日／さそり座／161cm／東京都／A型
伊藤 理々杏：2002年10月8日／てんびん座／154cm／沖縄県／B型
岩本 蓮加：2004年2月2日／みずがめ座／159cm／東京都／B型
田村 真佑：1999年1月12日／やぎ座／160cm／埼玉県／A型
弓木 奈於：1999年2月3日／みずがめ座／165cm／京都府／A型
早川 聖来：2000年8月24日／おとめ座／164cm／大阪府／A型
賀喜 遥香：2001年8月8日／しし座／166cm／栃木県／A型
北川 悠理：2001年8月8日／しし座／165cm／米国カリフォルニア州／不明
佐藤 璃果：2001年8月9日／しし座／160cm／岩手県／B型
遠藤 さくら：2001年10月3日／てんびん座／164cm／愛知県／O型
金川 紗耶：2001年10月31日／さそり座／165cm／北海道／O型
矢久保 美緒：2002年8月14日／しし座／153cm／東京都／B型
掛橋 沙耶香：2002年11月20日／さそり座／154cm／岡山県／B型
柴田 柚菜：2003年3月3日／うお座／160cm／千葉県／A型
清宮 レイ：2003年8月1日／しし座／164cm／埼玉県／O型
林 瑠奈：2003年10月2日／てんびん座／164cm／神奈川県／O型
松尾 美佑：2004年1月3日／やぎ座／167cm／千葉県／O型
黒見 明香：2004年1月19日／やぎ座／163cm／東京都／O型
筒井 あやめ：2004年6月8日／ふたご座／160cm／愛知県／O型
池田 瑛紗：2002年5月12日／おうし座／162cm／東京都／不明
中西 アルノ：2003年3月17日／うお座／157cm／千葉県／A型
川﨑 桜：2003年4月17日／おひつじ座／155cm／神奈川県／不明
一ノ瀬 美空：2003年5月24日／ふたご座／156cm／福岡県／B型
岡本 姫奈：2003年12月17日／いて座／160cm／愛知県／A型
井上 和：2005年2月17日／みずがめ座／158cm／神奈川県／B型
五百城 茉央：2005年7月29日／しし座／166cm／兵庫県／O型
奥田 いろは：2005年8月20日／しし座／157cm／千葉県／A型
菅原 咲月：2005年10月31日／さそり座／158.5cm／千葉県／A型
冨里 奈央：2006年9月18日／おとめ座／164cm／千葉県／O型
小川 彩：2007年6月27日／かに座／154cm／千葉県／B型
大越 ひなの：2004年12月1日／いて座／164cm／静岡県／B型
瀬戸口 心月：2005年7月16日／かに座／153cm／鹿児島県／A型
愛宕 心響：2005年9月17日／おとめ座／160cm／兵庫県／不明
鈴木 佑捺：2006年5月18日／おうし座／157cm／山梨県／AB型
海邉 朱莉：2007年2月14日／みずがめ座／166cm／兵庫県／O型
小津 玲奈：2007年4月17日／おひつじ座／155cm／東京都／AB型
長嶋 凛桜：2007年5月25日／ふたご座／157cm／北海道／A型
矢田 萌華：2008年1月27日／みずがめ座／161cm／秋田県／B型
森平 麗心：2008年10月5日／てんびん座／156cm／東京都／A型
増田 三莉音：2009年11月1日／さそり座／156cm／大阪府／O型
川端 晃菜：2011年1月14日／やぎ座／156cm／東京都／B型
渡辺 梨加：1995年5月16日／おうし座／166.5cm／茨城県／O型
菅井 友香：1995年11月29日／いて座／165cm／東京都／AB型
佐藤 詩織：1996年11月16日／さそり座／161cm／東京都／A型
上村 莉菜：1997年1月4日／やぎ座／153.5cm／千葉県／O型
長沢 菜々香：1997年4月23日／おうし座／158cm／山形県／A型
石森 虹花：1997年5月7日／おうし座／162.7cm／宮城県／A型
土生 瑞穂：1997年7月7日／かに座／171.6cm／東京都／A型
尾関 梨香：1997年10月7日／てんびん座／156.5cm／神奈川県／O型
守屋 茜：1997年11月12日／さそり座／163.5cm／宮城県／A型
鈴本 美愉：1997年12月5日／いて座／155cm／愛知県／AB型
齋藤 冬優花：1998年2月15日／みずがめ座／158cm／東京都／O型
原田 まゆ：1998年5月2日／おうし座／163cm／東京都／B型
織田 奈那：1998年6月4日／ふたご座／161.1cm／静岡県／O型
渡邉 理佐：1998年7月27日／しし座／167cm／茨城県／O型
今泉 佑唯：1998年9月30日／てんびん座／153cm／神奈川県／O型
小池 美波：1998年11月14日／さそり座／158.5cm／兵庫県／B型
志田 愛佳：1998年11月23日／いて座／169cm／新潟県／A型
小林 由依：1999年10月23日／てんびん座／161cm／埼玉県／A型
米谷 奈々未：2000年2月24日／うお座／157cm／大阪府／B型
原田 葵：2000年5月7日／おうし座／156cm／東京都／AB型
鈴木 泉帆：2000年10月7日／てんびん座／不明／愛知県／不明
平手 友梨奈：2001年6月25日／かに座／163cm／愛知県／O型
長濱 ねる：1998年9月4日／おとめ座／159cm／長崎県／O型
松平 璃子：1998年5月5日／おうし座／168.3cm／東京都／O型
関 有美子：1998年6月29日／かに座／167cm／福岡県／A型
田村 保乃：1998年10月21日／てんびん座／163cm／大阪府／A型
遠藤 光莉：1999年4月17日／おひつじ座／163.3cm／神奈川県／A型
大沼 晶保：1999年10月12日／てんびん座／161cm／静岡県／B型
松田 里奈：1999年10月13日／てんびん座／159.5cm／宮崎県／O型
守屋 麗奈：2000年1月2日／やぎ座／154cm／東京都／AB型
大園 玲：2000年4月18日／おひつじ座／163cm／鹿児島県／A型
井上 梨名：2001年1月29日／みずがめ座／163cm／兵庫県／A型
森田 ひかる：2001年7月10日／かに座／150.5cm／福岡県／B型
藤吉 夏鈴：2001年8月29日／おとめ座／165.1cm／大阪府／A型
増本 綺良：2002年1月12日／やぎ座／158.4cm／兵庫県／A型
武元 唯衣：2002年3月23日／おひつじ座／158.5cm／滋賀県／O型
幸阪 茉里乃：2002年12月19日／いて座／154.5cm／三重県／O型
山﨑 天：2005年9月28日／てんびん座／168.4cm／大阪府／A型
石森 璃花：2002年1月13日／やぎ座／159cm／群馬県／B型
中嶋 優月：2003年2月17日／みずがめ座／162cm／福岡県／A型
小田倉 麗奈：2004年7月25日／しし座／163cm／東京都／A型
村井 優：2004年8月18日／しし座／156cm／東京都／B型
山下 瞳月：2005年1月22日／みずがめ座／152cm／京都府／A型
村山 美羽：2005年2月15日／みずがめ座／168cm／東京都／O型
谷口 愛季：2005年4月12日／おひつじ座／151cm／山口県／O型
小島 凪紗：2005年7月7日／かに座／165cm／長野県／不明
遠藤 理子：2006年1月9日／やぎ座／155cm／埼玉県／A型
向井 純葉：2006年5月9日／おうし座／163cm／広島県／AB型
的野 美青：2006年11月8日／さそり座／166cm／福岡県／AB型
勝又 春：2004年1月24日／みずがめ座／167cm／京都府／A型
浅井 恋乃未：2004年12月22日／やぎ座／156cm／埼玉県／A型
松本 和子：2005年2月6日／みずがめ座／162cm／千葉県／O型
山川 宇衣：2005年9月19日／おとめ座／159cm／宮城県／不明
目黒 陽色：2006年1月24日／みずがめ座／169.4cm／埼玉県／A型
稲熊 ひな：2006年3月9日／うお座／156cm／愛知県／AB型
佐藤 愛桜：2006年12月1日／いて座／157cm／佐賀県／O型
中川 智尋：2007年9月16日／おとめ座／157cm／長崎県／O型
山田 桃実：2008年7月20日／かに座／164cm／岡山県／AB型
井口 眞緒：1995年11月10日／さそり座／163cm／新潟県／AB型
佐々木 久美：1996年1月22日／みずがめ座／168.3cm／千葉県／O型
齊藤 京子：1997年9月5日／おとめ座／155.7cm／東京都／A型
潮 紗理菜：1997年12月26日／やぎ座／158.2cm／神奈川県／O型
加藤 史帆：1998年2月2日／みずがめ座／160.7cm／東京都／A型
東村 芽依：1998年8月23日／おとめ座／154.5cm／奈良県／O型
高瀬 愛奈：1998年9月20日／おとめ座／157.2cm／大阪府／A型
